REST LAYER,DATA LAYER,PARENT LAYER,SOURCE,SOURCE URL,TOPICS,MAIN THEME,SubTheme,Raw Data Link,REST Endpoint,REST Array Number,REST Sublayer Array Numbers,source metadata url,local metadata url,Comments,kml,Attributes,Attributes Display Name,Hover Description,Description
Shrimp Fishery Access Areas,Shrimp Fishery Access Areas,Coral Habitat MPA,,,Habitat,Jurisdictions and Boundaries,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,12,,,"http://ocean.floridamarine.org/efh_coral/metadata/coral,%20coral%20reefs,%20live%20or%20hard%20bottom%20efh.htm",,,"NAME,Perimeter,Area,SQ_MILES","NAME,Perimeter,Area,SQ_MILES","The Shrimp Fishery Access Areas will allow royal red shrimp fishing vessels with a rock shrimp limited access endorsement and equipped with an approved VMS, to continue to operate in the historical royal red shrimp fishing areas without added costs.","The Shrimp Fishery Access Areas will allow royal red shrimp fishing vessels with a rock shrimp limited access endorsement and equipped with an approved VMS, to continue to operate in the historical royal red shrimp fishing areas without added costs."
Deepwater Coral HAPCs,Deepwater Coral Habitat Area of Particular Concern (HAPCs),Coral Habitat MPA,,,Habitat,Jurisdictions and Boundaries,,http://www.safmc.net/LinkClick.aspx?fileticket=NhHUb6xlFxY%3d&tabid=632,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,13,,,http://ocean.floridamarine.org/efh_coral/metadata/deepwater%20coral%20hapcs.htm,,http://www.safmc.net/LinkClick.aspx?fileticket=OawyV%2f%2bWA7w%3d&tabid=632,"NAME,AREA_METR2,AREA_MILE2","Name,Square Meters,Square Miles",Deepwater Coral Habitat Areas of Particular Concern (Deepwater CHAPCs) are determined by the South Atlantic Fishery Management Council and are located off the Southeast US coast in the Atlantic Ocean. ,"Action to establish the deepwater coral Habitat Areas of Particular Concern (HAPCs) was undertaken by the South Atlantic Fishery Management Council (the Council) through the Comprehensive Ecosystem Amendment. The Council submitted CE-BA 1 and associated final environmental impact statement for review, approval, and implementation by NOAA Fisheries Service. The final rule to establish the deepwater coral HAPC was published in the Federal Register on June 22, 2010 (75 FR 35330) and the provisions are effective July 22, 2010. CE-BA 1 amends the Coral, Coral Reefs, Live/Hard Bottom Habitats of the South Atlantic Region Fishery Management Plan (Coral FMP) to establish Coral Habitat Areas of Particular Concern (CHAPCs) to protect what is believed to be the largest distribution (>60,000 square kilometers; 23,000 square miles) of deepwater coral ecosystems in the world. In the South Atlantic region, deepwater coral ecosystems are coral, coral reefs, and live/hardbottom habitat in waters extending from 400 meters (1,300 feet) to the seaward boundary of the exclusive economic zone. Within the CHAPCs, the possession of coral species and the use of all bottom damaging gear is prohibited including bottom longline, trawl (bottom and mid-water), dredge, pot or trap, or the use of an anchor, anchor and chain, or grapple and chain by all fishing vessels."
Oculina HAPC,Oculina Bank Marine Protected Area (MPA),,South Atlantic Fishery Management Council,http://www.safmc.net/,Habitat,Jurisdictions and Boundaries,,http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,14,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer/14,,,,,,
Experimental Closed Area,Experimental Closed Area,Oculina Bank Marine Protected Area (MPA),,,Habitat,Jurisdictions and Boundaries,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,15,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer/15,,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restriction,Square Meters,Square Miles",,
Oculina Boundaries,Oculina Habitat Area of Particular Concern,Oculina Bank Marine Protected Area (MPA),,,Habitat,Jurisdictions and Boundaries,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,16,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer/16,,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles",,
SEAMAP Bottom Mapping,EFH-Habitat Areas of Particular Concern (HAPC),,South Atlantic Fishery Management Council,http://www.safmc.net/,Habitat,Marine Habitat,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,3,,,,,,,,,
Dolphin-Wahoo EFH-HAPC,Dolphin-Wahoo EFH-HAPC,EFH-Habitat Areas of Particular Concern (HAPC),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/dol_hapcNEW.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,7,,,http://ocean.floridamarine.org/efh_coral/metadata/dolphin-wahoo%20efh-hapc.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Dolphin-Wahoo%20EFH-HAPC.kmz,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles",,
Coastal Migratory Pelagics EFH-HAPC,Coastal Migratory Pelagics EFH-HAPC,EFH-Habitat Areas of Particular Concern (HAPC),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/cmp_hapc.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,5,,,http://ocean.floridamarine.org/efh_coral/metadata/coastal%20migratory%20pelagics%20efh-hapc.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Coastal%20Migratory%20Pelagics%20EFH-HAPC.kmz,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles","Essential fish habitat for coastal migratory pelagic species includes sandy shoals of capes and offshore bars, high profile rocky bottom and barrier island ocean-side waters, from the surf to the shelf break zone, and, from the Gulf stream shoreward, inclusive of Sargassum.","Essential fish habitat for coastal migratory pelagic species includes sandy shoals of capes and offshore bars, high profile rocky bottom and barrier island ocean-side waters, from the surf to the shelf break zone, and, from the Gulf stream shoreward, inclusive of Sargassum. In addition, all coastal inlets, all state-designated nursery habitats of particular importance to coastal migratory pelagics (for example, in North Carolina this would include all Primary Nursery Areas and all Secondary Nursery Areas). For Cobia, essential fish habitat also includes high salinity bays, estuaries, and seagrass habitat. In addition, the Gulf Stream is an essential fish habitat because it provides a mechanism to disperse coastal migratory pelagic larvae. For king and Spanish mackerel and cobia, essential fish habitat occurs in the South Atlantic and Mid-Atlantic Bights."
Shrimp EFH-HAPC,Shrimp EFH-HAPC,EFH-Habitat Areas of Particular Concern (HAPC),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/shrimp_hapc.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,9,,,http://ocean.floridamarine.org/efh_coral/metadata/Shrimp%20EFH-HAPC.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Shrimp%20EFH-HAPC.kmz,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles",,
Spiny Lobster EFH-HAPC,Spiny Lobster EFH-HAPC,EFH-Habitat Areas of Particular Concern (HAPC),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/SPlobster_hapc.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,10,,,http://ocean.floridamarine.org/efh_coral/metadata/Spiny%20Lobster%20EFH-HAPC.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Spiny%20Lobster%20EFH-HAPC.kmz,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles",,
Snapper Grouper EFH-HAPC,Snapper Grouper EFH-HAPC,EFH-Habitat Areas of Particular Concern (HAPC),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/snapper_grouper_hapc.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,8,,,http://ocean.floridamarine.org/efh_coral/metadata/Snapper%20Grouper%20EFH-HAPC.htm,,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Snapper-Grouper%20EFH-HAPC.kmz,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles","Areas which meet the criteria for essential fish habitat-habitat areas of particular concern (EFH-HAPCs) for snapper grouper species include medium to high profile offshore hard bottoms where spawning normally occurs and include habitats required during each life stage (including egg, larval, postlarval, juvenile, and adult stages).","Areas which meet the criteria for essential fish habitat-habitat areas of particular concern (EFH-HAPCs) for species in the snapper grouper management unit include medium to high profile offshore hard bottoms where spawning normally occurs; localities of known or likely periodic spawning aggregations; nearshore hardbottom areas; The Point, The Ten Fathom Ledge, and Big Rock (North Carolina); The Charleston Bump (South Carolina); mangrove habitat; seagrass habitat; oyster/shell habitat; all coastal inlets; all state-designated nursery habitats of particular importance to snapper grouper (e.g., Primary and Secondary Nursery Areas designated in North Carolina); pelagic and benthic Sargassum; Hoyt Hills for wreckfish; the Oculina Bank Habitat Area of Particular Concern; all hermatypic coral habitats and reefs; manganese outcroppings on the Blake Plateau; and Council-designated Artificial Reef Special Management Zones (SMZs). Areas that meet the criteria for designating essential fish habitat-habitat areas of particular concern include habitats required during each life stage (including egg, larval, postlarval, juvenile, and adult stages)."
"Coral, Coral Reef, Live/Hard Bottom EFH-HAPC","Coral, Coral Reefs, Live or Hard Bottom EFH-HAPC",EFH-Habitat Areas of Particular Concern (HAPC),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/coral_hapc.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,6,,,"http://ocean.floridamarine.org/efh_coral/metadata/Coral,%20Coral%20Reef%20and%20Live_Hard%20Bottom%20EFH-HAPC.htm",,http://atoll.floridamarine.org/KMZ_files/Bounds%20--%20Coral-Coral%20Reef-Live%20or%20Hard%20Bottom%20EFH-HAPC.kmz,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles","Areas which meet the criteria for essential fish habitat-habitat areas of particular concern (EFH-HAPCs) for coral, coral reefs, and live/hard bottom.","Areas which meet the criteria for essential fish habitat-habitat areas of particular concern (EFH-HAPCs) for coral, coral reefs, and live/hard bottom include: 10-Fathom Ledge, Big Rock, and The Point (North Carolina); Hurl Rocks and The Charleston Bump (South Carolina); GrayÃ_Ã«Ã_â€_Å’Â¬Ã_Â´Ã_Ã«Å’Ã_Ã_Ã_ÃÅÃ__Å’ÃˆÃ_Ã«Ã_â€_Ã_Ã_ÃÅÃ__Ã__Ã_Ã«Å’Â¢Ã_Ã_ÃÅÃ_Â¢Ã_â€°Ã_Ã_ÃÅÃ_Â£Å’Â¢Ã_Ã«Ã_â€_Å’Â¬Ã_Â´Ã_Ã«Å’Â¢Ã_Ã_ÃÅÃ_Â¢Ã_â€°_Ã_Ã«Ã_â€_Ã_Ã_ÃÅÃ___Ã_Ã«Ã_Â¢Ã_Â«Å’Â¢Ã_Ã«Ã_â€_Å’Â¬Ã_Â´Ã_Ã«Å’Ã_Ã_Ã_ÃÅÃ__Å’ÃˆÃ_Ã«Ã_â€_Ã_Ã_ÃÅÃ___Ã_Ã«Ã_Â¢Ã_Â«Å’Â¢Ã_Ã«Ã_â€_Å’Â¬Ã_Â´Ã_Ã«Å’Ã_Ã_Ã_ÃÅÃ__Å’ÃˆÃ_Ã«Ã_â€_Ã_Ã_ÃÅÃ___Ã_Ã«Ã_Â¢Ã_Â«Å’Â¢Ã_Ã«Ã_â€_Å’Â¬Ã_Â´Ã_Ã«Å’Â¢Ã_Ã_ÃÅÃ_Â¢Ã_â€°_Ã_Ã«Ã_â€_Ã_Ã_ÃÅÃ___Ã_Ã«Ã_Â¢Ã_Â«Ã_â€°Ã_Ã«Ã_â€_Å’Â¬Ã_Â´Ã_Ã«Å’Ã_Ã_Ã_ÃÅÃ__Å’ÃˆÃ_Ã«Ã_â€_Ã_Ã_ÃÅÃ___Ã_Ã«Ã_Â¢Ã_Â«Å’Â¢Ã_Ã«Ã_â€_Å’Â¬Ã_Â´Ã_Ã«Å’Ã_Ã_Ã_ÃÅÃ__Å’ÃˆÃ_Ã«Ã_â€_Ã_Ã_ÃÅÃ___Ã_Ã«Ã_Â¢Ã_Â«Å’Â¢Ã_Ã«Ã_â€_Å’Â¬Ã_Â´Ã_Ã«Å’Â¢Ã_Ã_ÃÅÃ_Â¢Ã_â€°_Ã_Ã«Ã_â€_Ã_Ã_ÃÅÃ___Ã_Ã«Ã_Â¢Ã_Â«Å’Â¢s Reef National Marine Sanctuary (Georgia); The Phragmatopoma (worm reefs) reefs off the central east coast of Florida; Oculina Banks off the east coast of Florida from Ft. Pierce to Cape Canaveral; nearshore (0-4 meters; 0-12 feet) hard bottom off the east coast of Florida from Cape Canaveral to Broward County; offshore (5-30 meter; 15-90 feet) hard bottom off the east coast of Florida from Palm Beach County to Fowey Rocks; Biscayne Bay, Florida; Biscayne National Park, Florida; and, the Florida Keys National Marine Sanctuary."
Tilefish EFH-HAPC,Tilefish EFH-HAPC,EFH-Habitat Areas of Particular Concern (HAPC),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/tilefish_hapc.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,4,,,http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx,,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles",,
Golden Crab Fishery Access Areas,Essential Fish Habitat (EFH),,South Atlantic Fishery Management Council,http://www.safmc.net/,Habitat,Marine Habitat,,,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_Regulations/MapServer,11,,,,,,,,,
Dolphin-Wahoo EFH,Dolphin-Wahoo EFH,Essential Fish Habitat (EFH),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/DW_efh.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,14,,,http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx,,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles",,
Shrimp EFH,Shrimp EFH,Essential Fish Habitat (EFH),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/shrimp_efh.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,16,,,http://ocean.floridamarine.org/efh_coral/metadata/Shrimp%20EFH.htm,,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles",,
Spiny Lobster EFH,Spiny Lobster EFH,Essential Fish Habitat (EFH),,,Habitat,Marine Habitat,,http://ocean.floridamarine.org/efh_coral/zip/spinylobster_efh.zip,http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC/SAFMC_EFH/MapServer,18,,,http://ocean.floridamarine.org/efh_coral/metadata/Spiny%20Lobster%20EFH.htm,,,"NAME,DISC,RESTRICTIO,AREA_METR2,AREA_MILE2","Name,Description,Restrictions,Square Meters,Square Miles",,
