REST LAYER,DATA LAYER,PARENT LAYER,SOURCE,SOURCE URL,TOPICS,MAIN THEME,SubTheme,Raw Data Link,REST Endpoint,REST Array Number,REST Sublayer Array Numbers,source metadata url,local metadata url,Comments,Description,kml
"SAFMC MPA Deepwater Snapper Grouper","SAFMC MPA Deepwater Snapper Grouper","","South Atlantic Fishery Management Council","http://www.safmc.net/","Habitat","JurisdictionsandBoundaries","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","8","","","http://ocean.floridamarine.org/efh_coral/metadata/Snapper%20Grouper%20EFH.htm","","",""
"SAFMC MPA Coral Habitat","SAFMC MPA Coral Habitat","","South Atlantic Fishery Management Council","http://www.safmc.net/","Habitat","JurisdictionsandBoundaries","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","10","","","http://ocean.floridamarine.org/efh_coral/metadata/coral,%20coral%20reefs,%20live%20or%20hard%20bottom%20efh.htm","","",""
"Golden Crab Fishery Access Areas","Golden Crab Fishery Access Areas","SAFMC MPA Coral Habitat","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","11","","","http://ocean.floridamarine.org/efh_coral/metadata/coral,%20coral%20reefs,%20live%20or%20hard%20bottom%20efh.htm","","",""
"Shrimp Fishery Access Areas","Shrimp Fishery Access Areas","SAFMC MPA Coral Habitat","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","12","","","http://ocean.floridamarine.org/efh_coral/metadata/coral,%20coral%20reefs,%20live%20or%20hard%20bottom%20efh.htm","","",""
"Deepwater Coral HAPCs","Deepwater Coral HAPCs","SAFMC MPA Coral Habitat","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","13","","","http://ocean.floridamarine.org/efh_coral/metadata/coral,%20coral%20reefs,%20live%20or%20hard%20bottom%20efh.htm","","",""
"SAFMC MPA Oculina CHAPC","SAFMC MPA Oculina CHAPC","","South Atlantic Fishery Management Council","http://www.safmc.net/","Habitat","JurisdictionsandBoundaries","","http://www.safmc.net/EcosystemManagement/EcosystemBoundaries/MappingandGISData/tabid/632/Default.aspx","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","14","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer/14","","",""
"Experimental Closed Area","Experimental Closed Area","SAFMC MPA Oculina CHAPC","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","15","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer/15","","",""
"Oculina Boundaries","Oculina Boundaries","SAFMC MPA Oculina CHAPC","","","Habitat","JurisdictionsandBoundaries","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer","16","","","http://ocean.floridamarine.org/ArcGIS/rest/services/SAFMC_Regulations/MapServer/16","","",""
"Limit of OCSLA 8(g) zone","Limit of OCSLA 8(g) zone","","Bureau of Ocean Energy Management","http://www.boem.gov","","JurisdictionsandBoundaries","","http://www.marinecadastre.gov/data/default.aspx","http://gis.boemre.gov/arcgis/rest/services/BOEM_BSEE/MMC_Layers/MapServer","7","","","http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL-8G.aspx","","",""
"Submerged Land Acts Boundary (3 NM)","Submerged Land Acts Boundary (3 NM)","","Bureau of Ocean Energy Management","http://www.boem.gov","","JurisdictionsandBoundaries","","http://www.marinecadastre.gov/data/default.aspx","http://gis.boemre.gov/arcgis/rest/services/BOEM_BSEE/MMC_Layers/MapServer","8","","","http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL-SLA.aspx","","",""
"OCS Lease Blocks","OCS Lease Blocks","","Bureau of Ocean Energy Management","http://www.boem.gov","","JurisdictionsandBoundaries","","http://www.marinecadastre.gov/data/default.aspx","http://gis.boemre.gov/arcgis/rest/services/BOEM_BSEE/MMC_Layers/MapServer","11","","","http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/ATL-BLKCLIP.aspx","","",""
"Coastal Barrier Resource System","Coastal Barrier Resource System","","Coastal Services Center","http://www.csc.noaa.gov/","Sediment,Habitat","JurisdictionsandBoundaries","","http://www.csc.noaa.gov/digitalcoast/data/cbrs","http://129.252.139.110/gsaa/rest/services/gsaa/MapServer","9","","","http://www.csc.noaa.gov/digitalcoast/data/cbrs","","",""
"Shipping Fairways, Lanes and Zones","Shipping Fairways, Lanes and Zones","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","","JurisdictionsandBoundaries","","http://www.marinecadastre.gov/data/default.aspx","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","21","","","https://s3.amazonaws.com/marco-public-2d/Metadata_files/html/shipping_metadata.html","","",""
"Territorial Sea (12NM)","Territorial Sea (12NM)","","Office of Coast Survey","http://www.nauticalcharts.noaa.gov/","","JurisdictionsandBoundaries","","http://www.marinecadastre.gov/data/default.aspx","http://ocs-gis.ncd.noaa.gov/ArcGIS/rest/services/CMSP/US_Maritime_Limits_Boundaries/MapServer","1","","","http://www.ncddc.noaa.gov/approved_recs/nos_de/ocs/ocs/ocs/MB_ParentDataset.html","","",""
"Contiguous Zone (24NM)","Contiguous Zone (24NM)","","Office of Coast Survey","http://www.nauticalcharts.noaa.gov/","","JurisdictionsandBoundaries","","http://www.marinecadastre.gov/data/default.aspx","http://ocs-gis.ncd.noaa.gov/ArcGIS/rest/services/CMSP/US_Maritime_Limits_Boundaries/MapServer","2","","","http://www.ncddc.noaa.gov/approved_recs/nos_de/ocs/ocs/ocs/MB_ParentDataset.html","","",""
"EEZ (200 NM)","EEZ (200 NM)","","Office of Coast Survey","http://www.nauticalcharts.noaa.gov/","","JurisdictionsandBoundaries","","http://www.marinecadastre.gov/data/default.aspx","http://ocs-gis.ncd.noaa.gov/ArcGIS/rest/services/CMSP/US_Maritime_Limits_Boundaries/MapServer","3","","","http://www.ncddc.noaa.gov/approved_recs/nos_de/ocs/ocs/ocs/MB_ParentDataset.html","","",""
"Boundaries out to 3 miles","Boundaries out to 3 miles","","NOAA's Coastal Geospatial Data Project","http://coastalgeospatial.noaa.gov/back_data.html","","JurisdictionsandBoundaries","","http://www.bts.gov/publications/national_transportation_atlas_database/2012/","http://egisws02.nos.noaa.gov/ArcGIS/rest/services/socioeco/counties/MapServer","","","","http://gsaaportal.org/media/metadata/html/State Boundaries out to 3 miles.html","","",""
"States","States","Boundaries out to 3 miles","","","","JurisdictionsandBoundaries","","","http://egisws02.nos.noaa.gov/ArcGIS/rest/services/socioeco/counties/MapServer","","","","http://gsaaportal.org/media/metadata/html/State Boundaries out to 3 miles.html","","",""
" Counties"," Counties","Boundaries out to 3 miles","","","","JurisdictionsandBoundaries","","","http://egisws02.nos.noaa.gov/ArcGIS/rest/services/socioeco/counties/MapServer","1","","","http://gsaaportal.org/media/metadata/html/State Boundaries out to 3 miles.html","","",""
"Critical Habitat","Critical Habitat","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","","MarineHabitat","","http://www.marinecadastre.gov/data/default.aspx","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","30","","","http://www.nmfs.noaa.gov/gis/data/critical.htm","","",""
"Habitat of Particular Concern","Habitat of Particular Concern","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","","MarineHabitat","","http://www.marinecadastre.gov/data/default.aspx","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","31","","","http://gsaaportal.org/media/metadata/html/Habitat of Particular Concern.html","","",""
"Marine Protected Areas (NonFMA)","Marine Protected Areas (NonFMA)","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","","JurisdictionsandBoundaries","","http://www.marinecadastre.gov/data/default.aspx","http://egisws02.nos.noaa.gov/ArcGIS/rest/services/MPA/MPAs_nonNMFS/MapServer","","","","http://egisws02.nos.noaa.gov/ArcGIS/rest/services/MPA/MPAs_nonNMFS/MapServer","","",""
"Navigable waterways - intercoastal waterway","Navigable waterways - intercoastal waterway","","US DoT Bureau of Transportation Statistics","http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_atlas_database/index.html","Sediment,Habitat","OceanUses","","http://www.bts.gov/publications/national_transportation_atlas_database/2012/","http://129.252.139.110/gsaa/rest/services/gsaa/MapServer","4","","","http://www.bts.gov/publications/national_transportation_atlas_database/2012/","","",""
"Unexploded Ordinances","Unexploded Ordinances","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","","OceanUses","","http://www.marinecadastre.gov/data/default.aspx","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","25","","","http://www.marinecadastre.gov/data/default.aspx","","",""
"Military Aviation Warning Areas","Military Aviation Warning Areas","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","","OceanUses","","http://www.marinecadastre.gov/data/default.aspx","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","27","","","http://www.marinecadastre.gov/data/default.aspx","","",""
"AIS Commercial Vessel Density October 2009-2010","AIS Commercial Vessel Density October 2009-2010","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","Sediment","OceanUses","","ftp://ftp.csc.noaa.gov/pub/MSP/AIS/CommercialVesselDensityOctober2009_2010National.zip","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MarineCadastre/CommercialVesselDensityOctober2009-2010/MapServer","","","","http://www.marinecadastre.gov/data/default.aspx","","",""
"Wrecks and Obstructions","Wrecks and Obstructions","","Office of Coast Survey","http://www.nauticalcharts.noaa.gov/","","OceanUses","","http://www.marinecadastre.gov/data/default.aspx","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","2","","","http://www.marinecadastre.gov/data/default.aspx","","",""
"Shorelines","Shorelines","","NOAA Shoreline Website","http://shoreline.noaa.gov/","","Physical","","http://www.nauticalcharts.noaa.gov/csdl/ctp/cm_vs.htm","http://egisws02.nos.noaa.gov/ArcGIS/rest/services/NOAA_Shoreline/NOAA_Medium_Resolution_Shoreline/MapServer","","","","http://www.nauticalcharts.noaa.gov/csdl/ctp/metadata_vs.htm","","",""
"Bathymetry - 10 Meter","Bathymetry - 10 Meter","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","Sediment","Physical","","http://www.marinecadastre.gov/data/default.aspx","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","15","","","http://www.marinecadastre.gov/data/default.aspx","","",""
"Undersea Feature Placenames","Undersea Feature Placenames","","Office of Coast Survey","http://www.nauticalcharts.noaa.gov/","","Physical","","http://www.marinecadastre.gov/data/default.aspx","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","10","","","http://www.marinecadastre.gov/data/default.aspx","","",""
"USGS Coastal Vulnerability Model","USGS Coastal Vulnerability Model","","USGS Coastal Vulnerability to Sea-Level Rise","http://woodshole.er.usgs.gov/project-pages/cvi/","Sediment,Habitat","Physical","","http://pubs.usgs.gov/dds/dds68/htmldocs/data.htm","http://129.252.139.110/gsaa/rest/services/gsaa/MapServer","6","","","http://pubs.usgs.gov/dds/dds68/htmldocs/data.htm","","",""
"Atlantic","Atlantic","USGS Coastal Vulnerability Model","","","Sediment,Habitat","Physical","","","http://129.252.139.110/gsaa/rest/services/gsaa/MapServer","7","","","http://pubs.usgs.gov/dds/dds68/htmldocs/data.htm","","",""
"Transportation-onshore (rail, roads, water)","Transportation-onshore (rail, roads, water)","","US DoT Bureau of Transportation Statistics","http://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/publications/national_transportation_atlas_database/index.html","Sediment,Habitat","Upland","","http://www.bts.gov/publications/national_transportation_atlas_database/2012/","http://129.252.139.110/gsaa/rest/services/gsaa/MapServer","","","","http://www.bts.gov/publications/national_transportation_atlas_database/2012/","","",""
"rail_lines","rail_lines","Transportation-onshore (rail, roads, water)","","","Sediment,Habitat","Upland","","","http://129.252.139.110/gsaa/rest/services/gsaa/MapServer","3","","","http://www.bts.gov/publications/national_transportation_atlas_database/2012/","","",""
"Sediment","Sediment","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Sediment","Sediment","","http://129.252.139.110/gsaa/rest/services/SCDNRLayers/MapServer/41","http://129.252.139.110/gsaa/rest/services/SCDNRLayers/MapServer","41","","","http://129.252.139.110/gsaa/rest/services/SCDNRLayers/MapServer/41","","",""
"AverageSandDepth","AverageSandDepth","Sediment","","","Sediment","Sediment","","","http://129.252.139.110/gsaa/rest/services/SCDNRLayers/MapServer","42","","","http://129.252.139.110/gsaa/rest/services/SCDNRLayers/MapServer/42","","",""
"AveragePercentSand","AveragePercentSand","Sediment","","","Sediment","Sediment","","","http://129.252.139.110/gsaa/rest/services/SCDNRLayers/MapServer","43","","","http://129.252.139.110/gsaa/rest/services/SCDNRLayers/MapServer/43","","",""
"AveragePhi","AveragePhi","Sediment","","","Sediment","Sediment","","","http://129.252.139.110/gsaa/rest/services/SCDNRLayers/MapServer","44","","","http://129.252.139.110/gsaa/rest/services/SCDNRLayers/MapServer/44","","",""
"DoD Wind Stipulation Areas","DoD Wind Stipulation Areas","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","","OceanUses","","","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","28","","","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer/28","","",""
"Principal Ports","Principal Ports","","Mutlipurpose Marine Cadastre","http://www.csc.noaa.gov/digitalcoast/tools/mmc","","JurisdictionsandBoundaries","","","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer","4","","","http://www.csc.noaa.gov/ArcGISPUB/rest/services/MultipurposeMarineCadastre/MultipurposeMarineCadastre/MapServer/4","","",""
"Florida Boat Ramps","Florida Boat Ramps","","Fish and Wildlife Research Institute","http://research.myfwc.com/features/default.asp?id=1341","","Upland","","http://atoll.floridamarine.org/data/Zips/SDE/vesselcorridors_fl_arc.zip","http://ocean.floridamarine.org/ArcGIS/rest/services/MRGIS/MapServer","18","","","http://atoll.floridamarine.org/Data/Metadata/SDE_Current/boat_ramps_fl_pnt.htm","","",""
"Avian Fauna","Avian Fauna","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","BiologicalResources","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","22","","","","","",""
"Piping Plover Critical Habitat_SE","","Avian Fauna","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","23","","http://gsaaportal.org/media/metadata/xml/PipingPloverSE_export.xml","http://gsaaportal.org/media/metadata/html/PipingPloverSE_export.html","","",""
"Coastal Wading Bird Nests_Florida","","Avian Fauna","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","24","","http://gsaaportal.org/media/metadata/xml/CoastalWadingBird_FL_export.xml","http://gsaaportal.org/media/metadata/html/CoastalWadingBird_FL_export.html","","",""
"Shorebird Nests_North Carolina","","Avian Fauna","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","25","","http://gsaaportal.org/media/metadata/xml/Shorebirds_NC_export.xml","http://gsaaportal.org/media/metadata/html/Shorebirds_NC_export.html","","",""
"Shorebird Nests_South Carolina","","Avian Fauna","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","26","","http://gsaaportal.org/media/metadata/xml/Shorebirds_SC_export.xml","http://gsaaportal.org/media/metadata/html/Shorebirds_SC_export.html","","",""
"Shorebird Nests_Georgia","","Avian Fauna","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","27","","http://gsaaportal.org/media/metadata/xml/Shorebirds_GA_export.xml","http://gsaaportal.org/media/metadata/html/Shorebirds_GA_export.html","","",""
"Shorebird Nests_Florida","","Avian Fauna","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","28","","http://gsaaportal.org/media/metadata/xml/Shorebirds_FL_export.xml","http://gsaaportal.org/media/metadata/html/Shorebirds_FL_export.html","","",""
"Deep Water Finfish","Deep Water Finfish","","South Carolina Department of Natural Resources","http://www.dnr.sc.gov/GIS/gsaa.html","Habitat","BiologicalResources","","ftp://ftpdata.dnr.sc.gov/gisdata/dnrdata/GSAAGISData201302.zip","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","29","","","","","",""
"Station Universe","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","30","","http://gsaaportal.org/media/metadata/xml/StationUniverse_export.xml","http://gsaaportal.org/media/metadata/html/StationUniverse_export.html","","",""
"Trap_Red Porgy","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","31","","http://gsaaportal.org/media/metadata/xml/Trap_RedPorgy_export.xml","http://gsaaportal.org/media/metadata/html/Trap_RedPorgy_export.html","","",""
"Trap_Red Snapper","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","32","","http://gsaaportal.org/media/metadata/xml/Trap_RedSnapper_export.xml","http://gsaaportal.org/media/metadata/html/Trap_RedSnapper_export.html","","",""
"Trap_Sand Perch","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","33","","http://gsaaportal.org/media/metadata/xml/Trap_SandPerch_export.xml","http://gsaaportal.org/media/metadata/html/Trap_SandPerch_export.html","","",""
"Trap_Scamp Grouper","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","34","","http://gsaaportal.org/media/metadata/xml/Trap_Scamp_export.xml","http://gsaaportal.org/media/metadata/html/Trap_Scamp_export.html","","",""
"Trap_Scup","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","35","","http://gsaaportal.org/media/metadata/xml/Trap_Scup_export.xml","http://gsaaportal.org/media/metadata/html/Trap_Scup_export.html","","",""
"Trap_Spottail Pinfish","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","36","","http://gsaaportal.org/media/metadata/xml/Trap_SpottailPinfish_export.xml","http://gsaaportal.org/media/metadata/html/Trap_SpottailPinfish_export.html","","",""
"Trap_Spotted Moray Eel","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","37","","http://gsaaportal.org/media/metadata/xml/Trap_SpottedMoray_export.xml","http://gsaaportal.org/media/metadata/html/Trap_SpottedMoray_export.html","","",""
"Trap_Tomtate","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","38","","http://gsaaportal.org/media/metadata/xml/Trap_Tomtate_export.xml","http://gsaaportal.org/media/metadata/html/Trap_Tomtate_export.html","","",""
"Trap_Vermillion Snapper","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","39","","http://gsaaportal.org/media/metadata/xml/Trap_VermSnapper_export.xml","http://gsaaportal.org/media/metadata/html/Trap_VermSnapper_export.html","","",""
"Trap_White Grunt","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","40","","http://gsaaportal.org/media/metadata/xml/Trap_WhiteGrunt_export.xml","http://gsaaportal.org/media/metadata/html/Trap_WhiteGrunt_export.html","","",""
"Long Bottom Longline_Golden Tilefish","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","41","","http://gsaaportal.org/media/metadata/xml/LBLL_GoldenTile_export.xml","http://gsaaportal.org/media/metadata/html/LBLL_GoldenTile_export.html","","",""
"Long Bottom Longline_Snowy Grouper","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","42","","http://gsaaportal.org/media/metadata/xml/LBLL_Snowy_export.xml","http://gsaaportal.org/media/metadata/html/LBLL_Snowy_export.html","","",""
"Short Bottom Longline_Blackbelly Rosefish","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","43","","http://gsaaportal.org/media/metadata/xml/SBLL_Blackbelly_export.xml","http://gsaaportal.org/media/metadata/html/SBLL_Blackbelly_export.html","","",""
"Short Bottom Longline_Golden Tilefish","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","44","","http://gsaaportal.org/media/metadata/xml/SBLL_GoldenTile_export.xml","http://gsaaportal.org/media/metadata/html/SBLL_GoldenTile_export.html","","",""
"Short Bottom Longline_Red Grouper","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","45","","http://gsaaportal.org/media/metadata/xml/SBLL_RedGrouper_export.xml","http://gsaaportal.org/media/metadata/html/SBLL_RedGrouper_export.html","","",""
"Short Bottom Longline_Scamp Grouper","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","46","","http://gsaaportal.org/media/metadata/xml/SBLL_Scamp_export.xml","http://gsaaportal.org/media/metadata/html/SBLL_Scamp_export.html","","",""
"Short Bottom Longline_Snowy Grouper","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","47","","http://gsaaportal.org/media/metadata/xml/SBLL_Snowy_export.xml","http://gsaaportal.org/media/metadata/html/SBLL_Snowy_export.html","","",""
"Trap_BankSea Bass","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","48","","http://gsaaportal.org/media/metadata/xml/Trap_BankSeaBass_export.xml","http://gsaaportal.org/media/metadata/html/Trap_BankSeaBass_export.html","","",""
"Trap_BlackSea Bass","","Deep Water Finfish","","","Habitat","BiologicalResources","","","http://129.252.139.110/gsaa/rest/services/SCDNR/MapServer","49","","http://gsaaportal.org/media/metadata/xml/Trap_BlackSeaBass_export.xml","http://gsaaportal.org/media/metadata/html/Trap_BlackSeaBass_export.html","","",""
